
步骤0	当前语法分析栈:voidmain(){A}#	余留符号串：voidmain(){intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤1	当前语法分析栈:main(){A}#	余留符号串：main(){intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤2	当前语法分析栈:(){A}#	余留符号串：(){intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤3	当前语法分析栈:){A}#	余留符号串：){intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤4	当前语法分析栈:{A}#	余留符号串：{intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤5	当前语法分析栈:A}#	余留符号串：intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤6	当前语法分析栈:CA}#	余留符号串：intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤7	当前语法分析栈:XBRA}#	余留符号串：intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤8	当前语法分析栈:YZ;BRA}#	余留符号串：intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤9	当前语法分析栈:intZ;BRA}#	余留符号串：intsum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤10	当前语法分析栈:Z;BRA}#	余留符号串：sum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤11	当前语法分析栈:UZ';BRA}#	余留符号串：sum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤12	当前语法分析栈:@ASS_UidU'Z';BRA}#	余留符号串：sum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤13	当前语法分析栈:idU'Z';BRA}#	余留符号串：sum=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤14	当前语法分析栈:U'Z';BRA}#	余留符号串：=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤15	当前语法分析栈:=L@EQ_U'Z';BRA}#	余留符号串：=0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤16	当前语法分析栈:L@EQ_U'Z';BRA}#	余留符号串：0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤17	当前语法分析栈:TL'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤18	当前语法分析栈:FT'@DIV_MULL'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤19	当前语法分析栈:@ASS_FnumT'@DIV_MULL'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:sum#
步骤20	当前语法分析栈:numT'@DIV_MULL'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：0;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:0sum#
步骤21	当前语法分析栈:T'@DIV_MULL'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:0sum#
步骤22	当前语法分析栈:@DIV_MULL'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:0sum#
步骤23	当前语法分析栈:L'@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:0sum#
步骤24	当前语法分析栈:@ADD_SUB@EQ_U'Z';BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:0sum#
步骤25	当前语法分析栈:@EQ_U'Z';BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:0sum#
步骤26	当前语法分析栈:Z';BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤27	当前语法分析栈:;BRA}#	余留符号串：;for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤28	当前语法分析栈:BRA}#	余留符号串：for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
步骤29	当前语法分析栈:for(YZ;G@FOR_FJ;Q){A@SINGLE}@FOR_RJ@FOR_BACKPATCH_FJRA}#	余留符号串：for(inti=1;i<11;i++){sum=sum+i;}}#	语义栈:#
